모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
쏘나타(DN8) 2.0LPI_17인치타이어_21MY,현대,승용차,일반형,10.2,,9,12,4등급
쏘나타(DN8) 2.0LPI_16인치타이어_21MY,현대,승용차,일반형,10.2,,9,12,4등급
"SM6 2.0 LPLi New (16"" Tire)",르노코리아자동차(주),승용차,일반형,9.5,,8.5,11,4등급
Mercedes-Benz GLE 400 d 4MATIC Coupe,벤츠,승용차,다목적형,10.5,,9.8,11.5,4등급
캐딜락 CT4 2.0T,GM,승용차,일반형,10.6,,9.3,12.9,4등급
벤츠 C 200 Cabriolet,벤츠,승용차,일반형,10.4,,9.2,12.4,4등급
BMW M235i xDrive Gran Coupe,BMW,승용차,일반형,10.4,,9.2,12.3,4등급
"Mercedes-Benz C 200 Coupe	",벤츠,승용차,일반형,11.1,,9.8,13.3,4등급
Mercedes-Benz GLE 300 d 4MATIC,벤츠,승용차,다목적형,10.7,,10.1,11.5,4등급
아반떼 1.6 LPI 17인치 타이어,현대,승용차,일반형,10.3,,9.2,12,4등급
아반떼 1.6 LPI 16인치 타이어,현대,승용차,일반형,10.5,,9.3,12.4,4등급
아반떼 1.6 LPI 15인치 타이어,현대,승용차,일반형,10.6,,9.4,12.5,4등급
GV80 2.5T-GDI 2WD 5인 19인치타이어 (빌트인캠),현대,승용차,다목적형,9.5,,8.5,10.9,4등급
GV80 2.5T-GDI 2WD 5인승 19인치 타이어,현대,승용차,다목적형,9.7,,8.7,11.1,4등급
티볼리 가솔린 1.5 AT AWD 저공해3종,케이지모빌리티,승용차,기타형,10.8,,9.8,12.3,4등급
코란도 가솔린 1.5 AT 2WD 저공해3종 17인치,케이지모빌리티,승용차,다목적형,11.5,,10.5,13,4등급
코란도 가솔린 1.5 AT 2WD 저공해3종 19인치,케이지모빌리티,승용차,다목적형,11.3,,10.3,12.7,4등급
코란도 가솔린 1.5 AT 4WD 저공해3종,케이지모빌리티,승용차,다목적형,10.5,,9.6,11.8,4등급
벨로스터 N 2.0T-GDI_8DCT,현대,승용차,일반형,10.2,,8.9,12.3,4등급
GV80 3.0디젤 AWD 7인 20인치타이어,현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 AWD 7인 20인치타이어(DS),현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 AWD 7인 22인치타이어,현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 AWD 5인 22인치타이어,현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 2WD 7인 19인치 타이어,현대,승용차,다목적형,11.2,,10.1,12.8,4등급
GV80 3.0디젤 2WD 7인 19인치 타이어(DS),현대,승용차,다목적형,11.2,,10.1,12.8,4등급
GV80 3.0디젤 2WD 7인 20인치 타이어,현대,승용차,다목적형,11.2,,10.1,12.8,4등급
GV80 3.0디젤 2WD 7인 20인치 타이어(DS),현대,승용차,다목적형,11.2,,10.1,12.8,4등급
GV80 3.0디젤 2WD 7인 22인치 타이어,현대,승용차,다목적형,11.2,,10.1,12.8,4등급
GV80 3.0디젤 AWD 5인 20인치타이어(DS),현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 AWD 5인 20인치타이어,현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 AWD 5인 19인치타이어,현대,승용차,다목적형,10.9,,9.8,12.6,4등급
GV80 3.0디젤 AWD 5인 19인치타이어(DS),현대,승용차,다목적형,10.9,,9.8,12.6,4등급
GV80 3.0디젤 AWD 7인 19인치타이어,현대,승용차,다목적형,10.9,,9.8,12.6,4등급
GV80 3.0디젤 AWD 5인 22인치타이어(DS),현대,승용차,다목적형,10.6,,9.7,11.9,4등급
GV80 3.0디젤 2WD 7인 22인치 타이어(DS),현대,승용차,다목적형,11.2,,10.1,12.8,4등급
GV80 3.0디젤 AWD 7인 19인치타이어(DS),현대,승용차,다목적형,10.9,,9.8,12.6,4등급
GV80 3.0디젤 AWD 7인 22인치 타이어(DS),현대,승용차,다목적형,10.4,,9.4,11.7,4등급
G80 2.5T-GDI AWD 20인치타이어,현대,승용차,일반형,9.8,,8.7,11.6,4등급
G80 2.5T-GDI AWD 19인치타이어,현대,승용차,일반형,9.8,,8.7,11.6,4등급
G80 2.5T-GDI AWD 18인치 (빌트인캠),현대,승용차,일반형,9.9,,8.7,11.9,4등급
G80 2.5T-GDI AWD 18인치타이어,현대,승용차,일반형,10.1,,8.9,12.1,4등급
G80 2.5T-GDI 2WD 20인치타이어,현대,승용차,일반형,10.6,,9.2,12.8,4등급
G80 2.5T-GDI 2WD 19인치타이어,현대,승용차,일반형,10.6,,9.3,12.8,4등급
G80 2.5T-GDI 2WD 18인치 (빌트인캠),현대,승용차,일반형,10.7,,9.5,12.9,4등급
G80 2.5T-GDI 2WD 18인치타이어,현대,승용차,일반형,10.8,,9.5,13,4등급
Mercedes-Benz C 200,벤츠,승용차,일반형,11.5,,10.1,13.7,4등급
Mercedes-Benz CLA 250 4MATIC,벤츠,승용차,일반형,11.5,,10.3,13.5,4등급
Master Bus Ph2 13p,르노코리아자동차(주),승합차,일반형,9.5,,9.3,9.8,4등급
Master VAN Ph2 L2H2,르노코리아자동차(주),화물차,밴형,10.9,,11,10.8,4등급
Master VAN Ph2 L1H1 ,르노코리아자동차(주),화물차,밴형,11.1,,11.1,11,4등급
Mercedes-Benz E 300,벤츠,승용차,일반형,10.2,,9.2,11.7,4등급
Mercedes-Benz S 350d 4MATIC,벤츠,승용차,일반형,11,,9.8,13,4등급
K5(DL3) 2.0LPI_18인치(빌트인캠),기아,승용차,일반형,9.6,,8.5,11.2,4등급
CR-V 4WD,혼다,승용차,다목적형,11.5,,10.7,12.7,4등급
K5(DL3) 2.0LPI_18인치타이어,기아,승용차,일반형,9.8,,8.7,11.4,4등급
K5(DL3) 2.0LPI_17인치타이어,기아,승용차,일반형,10,,8.8,11.8,4등급
K5(DL3) 2.0LPI_16인치(빌트인캠),기아,승용차,일반형,10.1,,8.9,11.9,4등급
K5(DL3) 2.0LPI_16인치타이어,기아,승용차,일반형,10.2,,9,12,4등급
Mercedes-Benz E 300 4MATIC,벤츠,승용차,일반형,10,,8.9,11.8,4등급
Mercedes-Benz GLC 300 4MATIC Coupe,벤츠,승용차,다목적형,9.7,,8.9,10.8,4등급
그랜저(IG개조) 3.3 GDI_19인치타이어,현대,승용차,일반형,9.6,,8.3,11.7,4등급
그랜저(IG개조) 3.3 GDI_18인치타이어,현대,승용차,일반형,9.7,,8.3,12,4등급
A7 55 TFSI quattro,아우디,승용차,일반형,9.5,,8.5,11.1,4등급
그랜저(IG개조) 2.5 GDI_19인치타이어,현대,승용차,일반형,11.1,,9.7,13.4,4등급
"투싼 개조차 1.6T-GDI AWD (20MY_19""타이어)",현대,승용차,다목적형,10.4,,9.8,11.3,4등급
"투싼 개조차 1.6T-GDI AWD (20MY_18""타이어)",현대,승용차,다목적형,10.7,,10,11.8,4등급
"투싼 개조차 1.6T-GDI 2WD (20MY_19""타이어)",현대,승용차,다목적형,11.3,,10.6,12.4,4등급
Mercedes-Benz E 250,벤츠,승용차,일반형,10.5,,9.5,12,4등급
FENGON ix5,DFSK,승용차,다목적형,9.8,,8.9,11.1,4등급
Mercedes-AMG E 53 4MATIC +,벤츠,승용차,일반형,9.5,,8.6,10.8,4등급
G70 3.3T-GDI 2WD (19인치 PS4S타이어),현대,승용차,일반형,9.5,,8.4,11.4,4등급
"모하비(PE2) 3.0디젤 4WD 5인(18""/20"" 타이어)",기아,승용차,다목적형,9.4,,8.3,11.1,4등급
"모하비(PE2) 3.0디젤 4WD 6인(18"" 타이어)",기아,승용차,다목적형,9.4,,8.3,11.1,4등급
"카니발(PE 20MY)2.2디젤 하이리무진 11인(18"" 타이어)",기아,승합차,일반형,10.3,,9.6,11.3,4등급
"카니발(PE 20MY) 2.2디젤 아웃도어 9인(19"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
"카니발(PE 20MY) 2.2디젤 하이리무진 9인(18"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
"카니발(PE 20MY) 2.2디젤 하이리무진 9인(19"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
"카니발(PE 20MY) 2.2디젤 2WD 11인승 (18"" 타이어)",기아,승합차,일반형,11.3,,10.1,13,4등급
"카니발(PE 20MY) 2.2디젤 2WD 11인승 (17"" 타이어)",기아,승합차,일반형,11.4,,10.3,13.2,4등급
"카니발(PE 20MY) 2.2디젤 2WD 7인승 (19"" 타이어)",기아,승용차,기타형,11.3,,10.1,13.2,4등급
"카니발(PE 20MY) 2.2디젤 2WD 9인승 (19"" 타이어)",기아,승용차,기타형,11.3,,10.1,13.2,4등급
카니발(PE 20MY) 2.2디젤 2WD 9인승 (18'' 타이어),기아,승용차,기타형,11.4,,10.2,13.4,4등급
"모하비(PE2) 3.0디젤 4WD 7인(18"" 타이어)",기아,승용차,다목적형,9.4,,8.3,11.1,4등급
벤츠 E 350 4MATIC,벤츠,승용차,일반형,10.3,,9.2,12,4등급
포터 2.5디젤 장축 더블캡 MT(강화유로6),현대,화물차,일반형,9.7,,9.6,9.9,4등급
Mercedes-AMG CLS 53 4MATIC + ,벤츠,승용차,일반형,9.5,,8.6,10.9,4등급
포터 2.5디젤 장축 슈퍼캡 MT(강화유로6),현대,화물차,일반형,9.9,,9.9,9.9,4등급
포터 2.5디젤 초장축 표준캡 MT(강화유로6),현대,화물차,일반형,9.9,,9.9,9.9,4등급
렉스턴스포츠 2.2 디젤 2WD 6MT SCR,케이지모빌리티,화물차,화물,11.3,,10.6,12.2,4등급
렉스턴스포츠 2.2 디젤 4WD 6MT SCR,케이지모빌리티,화물차,화물,11,,10.1,12.1,4등급
렉스턴스포츠 2.2 디젤 2WD 6AT SCR,케이지모빌리티,화물차,화물,10.4,,9.4,11.7,4등급
렉스턴스포츠 2.2 디젤 4WD 6AT SCR,케이지모빌리티,화물차,화물,10.1,,9.1,11.4,4등급
렉스턴스포츠 칸 2.2 디젤 2WD 6MT SCR,케이지모빌리티,화물차,화물,11.2,,10.6,12,4등급
렉스턴스포츠 칸 2.2 디젤 4WD 6MT SCR,케이지모빌리티,화물차,화물,10.9,,10.1,11.9,4등급
렉스턴스포츠 칸 2.2 디젤 2WD 6AT SCR,케이지모빌리티,화물차,화물,10.3,,9.3,11.7,4등급
렉스턴스포츠 칸 2.2 디젤 4WD 6AT SCR,케이지모빌리티,화물차,화물,10,,9.1,11.3,4등급
벤츠 S350 d 4MATIC,벤츠,승용차,일반형,10.9,,9.7,12.7,4등급
봉고 1톤 장축 표준캡 MT (강화유로6),기아,화물차,일반형,9.9,,9.9,10,4등급
봉고 1톤 장축 슈퍼캡 MT (강화유로6),기아,화물차,일반형,9.9,,9.9,10,4등급
봉고 1톤 초장축 표준캡 MT (강화유로6),기아,화물차,일반형,9.9,,9.9,10,4등급
봉고 1톤 장축 더블캡 MT (강화유로6),기아,화물차,일반형,9.7,,9.6,9.9,4등급
벤츠 GLE300 d 4Matic,벤츠,승용차,다목적형,10.6,,10,11.4,4등급
포터 2.5디젤 초장축 슈퍼캡 MT(강화유로6),현대,화물차,일반형,9.9,,9.9,9.9,4등급
포터 2.5디젤 초장축 더블캡 MT(강화유로6),현대,화물차,일반형,9.7,,9.6,9.9,4등급
봉고 1톤 초장축 슈퍼캡 MT (강화유로6),기아,화물차,일반형,9.9,,9.9,10,4등급
봉고 1톤 초장축 더블캡 MT (강화유로6),기아,화물차,일반형,9.7,,9.6,9.9,4등급
A6 45 TFSI quattro,아우디,승용차,일반형,11.4,,10,13.7,4등급
G70 2.0T-GDI AWD_19인치 타이어_20MY,현대,승용차,일반형,9.5,,8.4,11.3,4등급
G70 2.0T-GDI AWD_18인치 타이어_20MY,현대,승용차,일반형,10,,8.8,12,4등급
G70 2.0T-GDI 2WD_19인치 타이어_20MY,현대,승용차,일반형,10.4,,9.2,12.4,4등급
G70 2.0T-GDI 2WD_18인치 타이어_20MY,현대,승용차,일반형,10.7,,9.4,12.8,4등급
G70 2.0T-GDI 2WD (19인치 올시즌타이어) ,현대,승용차,일반형,10.5,,9.3,12.5,4등급
G70 2.0T-GDI AWD (19인치 올시즌타이어),현대,승용차,일반형,9.6,,8.6,11.3,4등급
그랜드스타렉스 2.5 디젤 3밴 6MT (20MY),현대,화물차,밴형,11,,10.5,11.8,4등급
그랜드스타렉스 2.5 디젤 3밴 5AT (20MY),현대,화물차,밴형,10,,9,11.4,4등급
벤츠 C200 Cabriolet,벤츠,승용차,일반형,10.3,,9.1,12.2,4등급
코란도 가솔린 1.5 AT 2WD 저공해3종 17인치,케이지모빌리티,승용차,다목적형,11.3,,10.4,12.5,4등급
코란도 가솔린 1.5 AT 2WD 저공해3종 19인치,케이지모빌리티,승용차,다목적형,11.1,,10.2,12.3,4등급
코란도 가솔린 1.5 AT 4WD 저공해3종,케이지모빌리티,승용차,다목적형,10.1,,9.1,11.6,4등급
그랜드스타렉스 2.5디젤 2WD 5AT_9인 (PE2/20MY),현대,승용차,기타형,9.4,,8.4,11,4등급
"셀토스 1.6T-GDI 4WD (18"" 타이어)",기아,승용차,다목적형,10.9,,10,12.2,4등급
"셀토스 1.6T-GDI 4WD (17"" 타이어)",기아,승용차,다목적형,11.1,,10.1,12.6,4등급
"셀토스 1.6T-GDI 4WD (16"" 타이어)",기아,승용차,다목적형,11.1,,10.1,12.5,4등급
그랜드스타렉스 2.5 디젤 5밴 5AT (20MY),현대,화물차,밴형,10,,9,11.4,4등급
그랜드스타렉스 2.5 디젤 5밴 6MT (20MY),현대,화물차,밴형,11,,10.5,11.8,4등급
아반떼 1.6LPI (15''/16'' 타이어) (19MY),현대,승용차,일반형,10.6,,9.3,12.6,4등급
"스포티지 2.0MPI (PE/18"",19""타이어) (19)",기아,승용차,다목적형,10.5,,9.6,11.9,4등급
"K7 3.0GDI (PE/18""타이어)",기아,승용차,일반형,10,,8.7,12.2,4등급
"K7 3.0GDI (PE/19""타이어)",기아,승용차,일반형,9.8,,8.6,12,4등급
K7 2.5 GDI (PE/19”타이어),기아,승용차,일반형,11.1,,9.8,13.4,4등급
티볼리 가솔린 1.5 AT 2WD 기준4 (18인치 타이어),케이지모빌리티,승용차,기타형,11.4,,10.6,12.7,4등급
티볼리 가솔린 1.5 AT AWD 기준4,케이지모빌리티,승용차,기타형,10.2,,9.2,11.8,4등급
BMW Z4 M40i,BMW,승용차,일반형,10.2,,9.2,11.9,4등급
Maxima,닛산,승용차,일반형,9.6,,8.3,11.7,4등급
스팅어 2.0T-GDI 2WD_19인치타이어(올시즌),기아,승용차,일반형,10.3,,9.1,12.2,4등급
스팅어 2.0T-GDI AWD_19인치타이어(올시즌),기아,승용차,일반형,9.5,,8.3,11.4,4등급
Mercedes-AMG SLC43,벤츠,승용차,일반형,9.4,,8.4,11.1,4등급
SLC250 ,벤츠,승용차,일반형,10.7,,9.5,12.4,4등급
Maxima,닛산,승용차,일반형,9.4,,8.2,11.7,4등급
쏘나타(DN8) 2.0LPI_18인치타이어,현대,승용차,일반형,9.8,,8.7,11.5,4등급
쏘나타(DN8) 2.0LPI_16인치타이어,현대,승용차,일반형,10.3,,9.1,12.1,4등급
BMW Z4 sDrive20i,BMW,승용차,일반형,10.7,,9.8,12.1,4등급
캐딜락 CT6 2.0T,GM,승용차,일반형,11,,9.6,13.5,4등급
INFINITI Q60,닛산,승용차,일반형,9.4,,8.2,11.6,4등급
짚 랭글러 스포츠,크라이슬러,승용차,다목적형,9.6,,8.9,10.8,4등급
"팰리세이드 2.2디젤 AWD 7인(20""타이어)",현대,승용차,다목적형,11.5,,10.8,12.6,4등급
"팰리세이드 2.2디젤 AWD 8인(20""타이어)",현대,승용차,다목적형,11.5,,10.8,12.6,4등급
"팰리세이드 3.8GDI 2WD 7인 (18"" 타이어)",현대,승용차,다목적형,9.6,,8.5,11.4,4등급
"팰리세이드 3.8GDI 2WD 8인 (18"" 타이어)",현대,승용차,다목적형,9.6,,8.5,11.4,4등급
"G4 렉스턴 2.2 7AT 2WD SCR 5인승					",케이지모빌리티,승용차,다목적형,10.5,,9.3,12.2,4등급
"G4 렉스턴 2.2 7AT 4WD SCR 5인승				",케이지모빌리티,승용차,다목적형,10.1,,9,11.8,4등급
K01H,DFSK,화물차,화물,10.1,,10,10.3,4등급
C35S2,DFSK,화물차,밴형,9.7,,9.6,9.9,4등급
모하비 3.0 디젤 4WD 5인,기아,승용차,다목적형,9.6,,8.4,11.4,4등급
모하비 3.0 디젤 2WD 5인,기아,승용차,다목적형,10.1,,8.9,12.1,4등급
i30 1.6T-GDI_6MT (N_Line),현대,승용차,일반형,11.4,,10.5,12.5,4등급
"G4 렉스턴 2.2 7AT 2WD SCR 7인승					",케이지모빌리티,승용차,다목적형,10.5,,9.3,12.2,4등급
"G4 렉스턴 2.2 7AT 4WD SCR 7인승				",케이지모빌리티,승용차,다목적형,10.1,,9,11.8,4등급
모하비 3.0 디젤 2WD 7인,기아,승용차,다목적형,10.1,,8.9,12.1,4등급
모하비 3.0 디젤 4WD 7인,기아,승용차,다목적형,9.6,,8.4,11.4,4등급
"스포티지 2.0MPI (PE/18"",19""타이어)",기아,승용차,다목적형,10.5,,9.6,11.9,4등급
"스포티지 2.0MPI (PE/17""타이어)",기아,승용차,다목적형,10.8,,9.8,12.3,4등급
"투싼 개조차 1.6T-GDI 2WD (19""타이어)",현대,승용차,다목적형,11.3,,10.6,12.4,4등급
"투싼 개조차 1.6T-GDI AWD (17""타이어)",현대,승용차,다목적형,10.9,,10.3,11.7,4등급
"투싼 개조차 1.6T-GDI AWD (18""타이어)",현대,승용차,다목적형,10.7,,10,11.8,4등급
"투싼 개조차 1.6T-GDI AWD (19""타이어)",현대,승용차,다목적형,10.4,,9.8,11.3,4등급
"카니발 2.2디젤 하이리무진 11인(18"" 타이어)",기아,승합차,일반형,10.3,,9.6,11.3,4등급
"카니발 2.2디젤 하이리무진 7인(19"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
"카니발 2.2디젤 아웃도어 9인(19"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
"카니발 2.2디젤 하이리무진 9인(18"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
"카니발 2.2디젤 하이리무진 9인(19"" 타이어)",기아,승용차,기타형,10.3,,9.6,11.4,4등급
스팅어 2.0T-GDI AWD_19인치타이어_19MY,기아,승용차,일반형,9.4,,8.5,10.8,4등급
스팅어 2.0T-GDI AWD_18인치타이어_19MY,기아,승용차,일반형,9.6,,8.7,10.9,4등급
스팅어 2.0T-GDI 2WD_19인치타이어_19MY,기아,승용차,일반형,10.1,,9.1,11.8,4등급
Mercedes-AMG C43 4Matic Coupe,벤츠,승용차,일반형,9.4,,8.3,11.1,4등급
짚 그랜드 체로키,크라이슬러,승용차,다목적형,9.7,,8.8,11.1,4등급
쏘나타(LF)개조차 2.0LPI AT_택시,현대,승용차,일반형,9.4,,8.2,11.3,4등급
K5 개조차 2.0LPI AT_택시,기아,승용차,일반형,9.4,,8.2,11.3,4등급
Mustang 2.3 Convertible,포드,승용차,일반형,9.4,,8,12,4등급
벨로스터 N 2.0T-GDI (PP),현대,승용차,일반형,10.5,,9.5,11.9,4등급
벨로스터 N 2.0T-GDI (STD),현대,승용차,일반형,10.7,,9.7,12.1,4등급
Mustang 2.3 Coupe,포드,승용차,일반형,9.4,,8,12,4등급
INFINITI QX50 2.0,닛산,승용차,다목적형,10.3,,9.4,11.6,4등급
INFINITI QX50 2.0 AWD,닛산,승용차,다목적형,9.8,,8.9,11.1,4등급
"카니발 2.2디젤 2WD 7인승 (19"" 타이어)",기아,승용차,기타형,11.3,,10.1,13.2,4등급
"카니발 2.2디젤 2WD 11인승 (18"" 타이어)",기아,승합차,일반형,11.3,,10.1,13,4등급
"카니발 2.2디젤 2WD 11인승 (17"" 타이어)",기아,승합차,일반형,11.4,,10.3,13.2,4등급
"카니발 2.2디젤 2WD 9인승 (19"" 타이어)",기아,승용차,기타형,11.3,,10.1,13.2,4등급
카니발 2.2디젤 2WD 9인승 (18'' 타이어),기아,승용차,기타형,11.4,,10.2,13.4,4등급
싼타페 2.0T-GDI 2WD 5인,현대,승용차,다목적형,9.5,,8.4,11.4,4등급
싼타페 2.0T-GDI 2WD 7인,현대,승용차,다목적형,9.5,,8.4,11.4,4등급
INFINITI Q60,닛산,승용차,일반형,9.6,,8.3,12,4등급
그랜드스타렉스 2.5디젤 2WD 5AT (PE2),현대,승합차,일반형,9.7,,8.6,11.3,4등급
그랜드스타렉스 2.5디젤 2WD 6MT (PE2),현대,승합차,일반형,10.9,,10.3,11.8,4등급
그랜드스타렉스 2.5디젤 2WD 5AT_9인 (PE2),현대,승용차,기타형,9.4,,8.4,11,4등급
캐딜락 ATS COUPE,GM,승용차,일반형,11,,9.7,13.2,4등급
캐딜락 ATS RWD,GM,승용차,일반형,11,,9.7,13.2,4등급
캐딜락 CTS AWD,GM,승용차,일반형,9.5,,8.2,11.6,4등급
K7 2.4GDI 18MY (19인치타이어) (15),기아,승용차,일반형,10.7,,9.3,12.9,4등급
K7 2.4GDI 18MY (18인치타이어) (15),기아,승용차,일반형,11.1,,9.6,13.5,4등급
K7 2.4GDI 18MY (17인치타이어) (15),기아,승용차,일반형,11.2,,9.8,13.6,4등급
"K7 3.0GDI (19""타이어) (15)",기아,승용차,일반형,9.8,,8.6,12,4등급
"K7 3.0GDI (18""타이어) (15)",기아,승용차,일반형,10,,8.7,12.2,4등급
GLS350 d 4Matic,벤츠,승용차,다목적형,9.6,,8.9,10.6,4등급
캐딜락 CT6 2.0T,GM,승용차,일반형,10.2,,9,12.2,4등급
쏘렌토(PE) 2.0T-GDI 2WD 5인 (18인치 타이어)(15),기아,승용차,다목적형,9.6,,8.2,11.9,4등급
G70 2.0T-GDI AWD (19인치 타이어) (15),현대,승용차,일반형,9.5,,8.4,11.3,4등급
G70 2.0T-GDI AWD (18인치 타이어) (15),현대,승용차,일반형,10,,8.8,12,4등급
G70 2.0T-GDI 2WD (19인치 타이어) (15),현대,승용차,일반형,10.4,,9.2,12.4,4등급
G70 2.0T-GDI 2WD (18인치 타이어) (15),현대,승용차,일반형,10.7,,9.4,12.8,4등급
쏘렌토(PE) 2.0T-GDI 2WD 5인 (19인치 타이어) (15),기아,승용차,다목적형,9.4,,8.2,11.3,4등급
쏘렌토(PE) 2.0T-GDI 2WD 7인 (18인치 타이어)(15),기아,승용차,다목적형,9.6,,8.2,11.9,4등급
쏘렌토(PE) 2.0T-GDI 2WD 7인 (19인치 타이어) (15),기아,승용차,다목적형,9.4,,8.2,11.3,4등급
E300 (AMG Line),벤츠,승용차,일반형,11,,9.8,12.8,4등급
E300 4Matic (AMG Line),벤츠,승용차,일반형,9.6,,8.7,11.2,4등급
렉서스 LC500h,토요타,승용차,일반형,10.9,,10.5,11.5,4등급
"코나 1.6T-GDI 4WD (18""타이어) (15)",현대,승용차,다목적형,11,,10,12.4,4등급
"코나 1.6T-GDI 4WD (17""타이어) (15)",현대,승용차,다목적형,11.1,,10.1,12.6,4등급
"코나 1.6T-GDI 4WD (16""타이어) (15)",현대,승용차,다목적형,11.3,,10.1,13,4등급
그랜드 스타렉스 2.5디젤 3밴 (15),현대,화물차,밴형,11,,10.4,11.8,4등급
그랜드 스타렉스 2.5디젤 5밴 (15),현대,화물차,밴형,11,,10.4,11.8,4등급
스팅어 2.0T-GDI AWD_19인치 타이어 (15),기아,승용차,일반형,9.4,,8.5,10.8,4등급
스팅어 2.0T-GDI AWD_18인치 타이어 (15),기아,승용차,일반형,9.6,,8.7,10.9,4등급
스팅어 2.0T-GDI 2WD_19인치 타이어 (15),기아,승용차,일반형,10.1,,9.1,11.8,4등급
스팅어 2.0T-GDI 2WD_18인치 타이어 (15),기아,승용차,일반형,10.4,,9.2,12.2,4등급
쏘나타(LF)개조차 2.0LPI MT (15),현대,승용차,일반형,9.5,,8.7,10.8,4등급
"그랜저 3.3GDI 8AT (19""타이어) (15)",현대,승용차,일반형,9.7,,8.4,11.9,4등급
"그랜저 3.0GDI 8AT (19""타이어) (15)",현대,승용차,일반형,9.9,,8.6,12.3,4등급
"그랜저 3.0GDI 8AT (18""타이어) (15)",현대,승용차,일반형,10.1,,8.7,12.5,4등급
"그랜저 2.4GDI (19""타이어) (15)",현대,승용차,일반형,10.8,,9.6,13,4등급
"그랜저 2.4GDI (18""타이어) (15)",현대,승용차,일반형,11,,9.7,13.3,4등급
"그랜저 2.4GDI (17""타이어) (15)",현대,승용차,일반형,11.2,,9.8,13.6,4등급
봉고 1t 장축 더블캡(유로6) (15),기아,화물차,화물,9.4,,9.4,9.4,4등급
봉고 1t 초장축 표준캡(유로6) (15),기아,화물차,화물,9.6,,9.6,9.6,4등급
봉고 1t 장축 슈퍼캡(유로6) (15),기아,화물차,화물,9.6,,9.6,9.6,4등급
포터 2.5디젤 장축 더블캡(유로6) (15),현대,화물차,화물,9.4,,9.4,9.4,4등급
포터 2.5디젤 초장축 표준캡(유로6) (15),현대,화물차,화물,9.6,,9.6,9.7,4등급
포터 2.5디젤 장축 슈퍼캡(유로6) (15),현대,화물차,화물,9.6,,9.6,9.7,4등급
"아슬란 3.3GDI 8AT (19""타이어) (15)",현대,승용차,일반형,9.6,,8.3,11.8,4등급
"아슬란 3.3GDI 8AT (18""타이어) (15)",현대,승용차,일반형,9.7,,8.4,12,4등급
"아슬란 3.0GDI 8AT (19""타이어) (15)",현대,승용차,일반형,9.8,,8.5,11.9,4등급
"아슬란 3.0GDI 8AT (18""타이어) (15)",현대,승용차,일반형,9.9,,8.6,12.2,4등급
봉고 1t 초장축 더블캡(유로6) (15),기아,화물차,화물,9.4,,9.4,9.4,4등급
봉고 1t 초장축 슈퍼캡(유로6) (15),기아,화물차,화물,9.6,,9.6,9.6,4등급
봉고 1t 장축 표준캡(유로6) (15),기아,화물차,화물,9.6,,9.7,9.6,4등급
포터 2.5디젤 초장축 더블캡(유로6) (15),현대,화물차,화물,9.4,,9.4,9.4,4등급
포터 2.5디젤 초장축 슈퍼캡(유로6) (15),현대,화물차,화물,9.6,,9.6,9.7,4등급
GLS350 d 4Matic,벤츠,승용차,다목적형,9.5,,8.6,10.8,4등급
K5(JF) 2.0LPI 6AT_17MY (15),기아,승용차,일반형,9.4,,8.3,11.3,4등급
K5(JF) 2.0LPI 6AT(ISG)_17MY (15),기아,승용차,일반형,9.6,,8.5,11.3,4등급
Mercedes-AMG SLC43,벤츠,승용차,일반형,9.5,,8.4,11.3,4등급
E300 4Matic,벤츠,승용차,일반형,10.3,,9.3,12,4등급
E300,벤츠,승용차,일반형,10.8,,9.6,12.6,4등급
말리부 2.0 TURBO,한국지엠,승용차,일반형,10.8,,9.4,13.2,4등급
캐딜락 ATS COUPE,GM,승용차,일반형,10.6,,9.3,12.8,4등급
파워프라자 라보 ev PEACE,한국지엠,화물차,화물,3.5,72,3.8,3.2,4등급
K7(YG) 3.3GDI (19인치타이어) (15),기아,승용차,일반형,9.7,,8.4,11.8,4등급
K7(YG) 3.3GDI (18인치타이어) (15),기아,승용차,일반형,10,,8.6,12.2,4등급
캐딜락 CTS,GM,승용차,일반형,10.5,,9.3,12.5,4등급
캐딜락 CTS AWD,GM,승용차,일반형,9.4,,8.3,11.1,4등급
캐딜락 ATS,GM,승용차,일반형,10.6,,9.3,12.8,4등급
캐딜락ATS AWD,GM,승용차,일반형,10.3,,9.1,12.2,4등급
K5(JF) 2.0LPI 6AT(ISG)(15),기아,승용차,일반형,9.4,,8.3,11.1,4등급
K5(JF) 2.0LPI 6MT(15),기아,승용차,일반형,9.6,,8.8,10.7,4등급
