모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
볼보 XC60T8 AWD,볼보,승용차,다목적형,3.5 / 11.7,61,3.7 / 11.3,3.4 / 12.2,PHEV
볼보 S90T8 AWD,볼보,승용차,일반형,3.6 / 13,65,3.7 / 12.7,3.5 / 13.4,PHEV
더 뉴 레인지로버 P550e SWB,랜드로버,승용차,다목적형,2.4 / 8.7,80,2.3 / 8.2,2.5 / 9.5,PHEV
파나메라 4 E-하이브리드,포르쉐,승용차,일반형,2.5 / 8.7,63,2.3 / 8.1,2.7 / 9.6,PHEV
더 뉴 레인지로버 스포츠 P550e,랜드로버,승용차,다목적형,2.4 / 8.7,80,2.3 / 8.2,2.5 / 9.5,PHEV
URUS SE,람보르기니,승용차,다목적형,2.1 / 7.7,53,2.1 / 7.2,2.2 / 8.4,PHEV
파나메라 4 E-하이브리드 (5인승),포르쉐,승용차,일반형,2.5 / 8.7,63,2.3 / 8.1,2.7 / 9.6,PHEV
짚 랭글러 사하라 4xe,크라이슬러,승용차,다목적형,2.3 / 8.7,34,2.4 / 8.7,2.2 / 8.7,PHEV
카이엔 터보 E-하이브리드,포르쉐,승용차,다목적형,2.2 / 7.9,56,2.2 / 7.4,2.3 / 8.5,PHEV
카이엔 터보 E-하이브리드 Coupe,포르쉐,승용차,다목적형,2.2 / 7.9,56,2.2 / 7.4,2.3 / 8.5,PHEV
카이엔 S E-하이브리드 COUPE,포르쉐,승용차,다목적형,2.3 / 8.4,56,2.2 / 7.9,2.3 / 9,PHEV
카이엔 S E-하이브리드 COUPE (5인승),포르쉐,승용차,다목적형,2.3 / 8.4,56,2.2 / 7.9,2.3 / 9,PHEV
Mercedes-AMG S 63 E,벤츠,승용차,일반형,2.3 / 7.9,25,2.1 / 7.1,2.5 / 9.1,PHEV
카이엔 터보 E-하이브리드 Coupe (5인승),포르쉐,승용차,다목적형,2.2 / 7.9,56,2.2 / 7.4,2.3 / 8.5,PHEV
카이엔 S E-하이브리드,포르쉐,승용차,다목적형,2.3 / 8.4,56,2.2 / 7.9,2.3 / 9,PHEV
카이엔 E-하이브리드 COUPE,포르쉐,승용차,다목적형,2.3 / 8.4,58,2.2 / 8.1,2.4 / 8.9,PHEV
카이엔 E-하이브리드 COUPE (5인승),포르쉐,승용차,다목적형,2.3 / 8.4,58,2.2 / 8.1,2.4 / 8.9,PHEV
카이엔 E-하이브리드,포르쉐,승용차,다목적형,2.3 / 8.4,58,2.2 / 8.1,2.4 / 8.9,PHEV
A7 55 TFSI e quattro,아우디,승용차,일반형,2.9 / 11.2,47,2.8 / 10.5,3.1 / 12.3,PHEV
볼보 S90T8 AWD,볼보,승용차,일반형,3.6 / 13,65,3.7 / 12.7,3.5 / 13.4,PHEV
페라리 SF90 XX Stradale,페라리,승용차,일반형,2.2 / 7.3,14,2.2 / 6.9,2.1 / 7.8,PHEV
페라리 SF90 XX Spider,페라리,승용차,일반형,2.2 / 7.3,14,2.2 / 6.9,2.1 / 7.8,PHEV
BMW 530e,BMW,승용차,일반형,3.2 / 11.3,73,3.2 / 11,3.3 / 11.7,PHEV
Revuelto,람보르기니,승용차,일반형,2.3 / 4.8,8,2.2 / 3.8,2.4 / 6.9,PHEV
볼보 XC90T8 AWD,볼보,승용차,다목적형,3.2 / 11,56,3.3 / 10.8,3 / 11.3,PHEV
BMW XM 50e,BMW,승용차,다목적형,2.2 / 7.9,68,2.2 / 7.5,2.2 / 8.5,PHEV
레인지로버 벨라 P400e,랜드로버,승용차,다목적형,2.5 / 9.1,45,2.4 / 8.6,2.6 / 9.8,PHEV
볼보 XC60T8 AWD,볼보,승용차,다목적형,3.5 / 11.7,61,3.7 / 11.3,3.4 / 12.2,PHEV
Mercedes-Benz S 580 e 4MATIC,벤츠,승용차,일반형,2.6 / 9.1,65,2.3 / 8.1,2.9 / 10.7,PHEV
Mercedes-Benz GLE 400 e 4MATIC Coupe,벤츠,승용차,다목적형,2.2 / 8.6,67,2.2 / 8.3,2.2 / 9.1,PHEV
BMW XM Label,BMW,승용차,다목적형,2 / 7.1,62,2 / 6.8,2 / 7.5,PHEV
BMW X5 xDrive50e,BMW,승용차,다목적형,2.6 / 9.4,77,2.5 / 8.9,2.7 / 10.1,PHEV
토요타 Prius PHEV,토요타,승용차,일반형,5.6 / 19.4,64,6.2 / 20.2,5 / 18.5,PHEV
렉서스 RX450h+,토요타,승용차,다목적형,3.8 / 14,56,4.2 / 14.5,3.3 / 13.4,PHEV
BMW 750e xDrive,BMW,승용차,일반형,3 / 10.7,60,2.8 / 10,3.2 / 11.6,PHEV
토요타 RAV4 PHEV,토요타,승용차,다목적형,4.2 / 15.6,63,4.7 / 16.3,3.8 / 14.7,PHEV
Mercedes-Benz S580 e 4MATIC,벤츠,승용차,일반형,2.7 / 9.8,71,2.5 / 8.9,3.1 / 11.3,PHEV
BMW XM,BMW,승용차,다목적형,2 / 7.1,62,2 / 6.8,2 / 7.5,PHEV
짚 그랜드 체로키 4xe,크라이슬러,승용차,다목적형,2.3 / 8.8,33,2.2 / 8.2,2.3 / 9.7,PHEV
짚 그랜드 체로키 4xe,크라이슬러,승용차,다목적형,2.3 / 8.8,33,2.2 / 8.2,2.3 / 9.7,PHEV
페라리 296 GTS,페라리,승용차,일반형,2.3 / 7.7,11,2.2 / 6.7,2.4 / 9.2,PHEV
A7 55 TFSI e quattro,아우디,승용차,일반형,3 / 11.3,47,2.9 / 10.5,3.2 / 12.6,PHEV
BMW 330e,BMW,승용차,일반형,3.3 / 11,41,3.1 / 10.1,3.5 / 12.3,PHEV
BMW 320e,BMW,승용차,일반형,3.3 / 11,41,3.1 / 10.1,3.6 / 12.3,PHEV
파나메라 터보 S E-하이브리드 (5인승),포르쉐,승용차,일반형,2 / 7.5,34,1.9 / 6.9,2.2 / 8.5,PHEV
파나메라 터보 S E-하이브리드,포르쉐,승용차,일반형,2 / 7.5,34,1.9 / 6.9,2.2 / 8.5,PHEV
렉서스 NX450h+,토요타,승용차,다목적형,3.8 / 14.4,56,4.2 / 15,3.5 / 13.7,PHEV
페라리 296 GTB,페라리,승용차,일반형,2.8 / 7.8,12,2.6 / 7,3 / 9.3,PHEV
"Mercedes-Benz GLE350 e 4MATIC	",벤츠,승용차,다목적형,2.5 / 8.9,66,2.5 / 8.6,2.6 / 9.2,PHEV
Mercedes-Benz GLE350 e 4MATIC Coupe,벤츠,승용차,다목적형,2.5 / 8.7,66,2.5 / 8.4,2.5 / 9.1,PHEV
"Mercedes-Benz E300 e 4MATIC	",벤츠,승용차,일반형,2.9 / 10.2,33,2.8 / 9.6,3.1 / 11,PHEV
Mercedes-Benz GLC300 e 4MATIC Coupe,벤츠,승용차,다목적형,2.7 / 9.4,29,2.7 / 9.1,2.7 / 9.9,PHEV
"Mercedes-Benz GLC300 e 4MATIC	",벤츠,승용차,다목적형,2.5 / 9.1,28,2.6 / 8.9,2.5 / 9.5,PHEV
BMW X3 xDrive30e,BMW,승용차,다목적형,2.6 / 9.6,34,2.5 / 8.7,2.8 / 10.9,PHEV
Mercedes-Benz GLE350 e 4MATIC ,벤츠,승용차,다목적형,2.5 / 9,66,2.5 / 8.8,2.6 / 9.1,PHEV
"Mercedes-Benz GLE350 e 4MATIC Coupe	",벤츠,승용차,다목적형,2.5 / 9,66,2.5 / 8.8,2.6 / 9.1,PHEV
짚 랭글러 사하라 4xe,크라이슬러,승용차,다목적형,2.4 / 9.2,32,2.5 / 9,2.3 / 9.4,PHEV
페라리 SF90 Spider,페라리,승용차,일반형,2.6 / 7.2,15,2.5 / 6.8,2.8 / 7.9,PHEV
Mercedes-Benz C300 e 4MATIC,벤츠,승용차,일반형,2.9 / 10.7,30,2.8 / 10,3 / 11.7,PHEV
페라리 SF90 Spider Assetto Fiorano,페라리,승용차,일반형,2.6 / 7.2,15,2.5 / 6.8,2.8 / 7.9,PHEV
파나메라 4 E-하이브리드,포르쉐,승용차,일반형,2.3 / 8.6,38,2.2 / 7.8,2.5 / 9.9,PHEV
파나메라 4 E-하이브리드 (5인승),포르쉐,승용차,일반형,2.3 / 8.6,38,2.2 / 7.8,2.5 / 9.9,PHEV
